经度,纬度,业务时间,卡片记录编码,线路名称,车牌号
114.004707,22.734531,2014/6/13 16:40,293520013,M424路,粤B64849
114.018943,22.749328,2014/6/13 7:12,329508731,M287路,粤B67195
114.018943,22.749328,2014/6/13 7:12,329508731,M287路,粤B67195
114.035026,22.750652,2014/6/13 17:02,295474461,M287路,粤B67195
114.030227,22.753021,2014/6/13 8:45,321822761,627路,粤B67266
114.023506,22.657016,2014/6/13 6:24,361453168,M211路,粤B69640
114.017745,22.656572,2014/6/13 19:11,329828833,M211路,粤B69640
114.044319,22.697521,2014/6/13 22:55,661011330,M287路,粤B69791
114.044319,22.697521,2014/6/13 22:55,661011330,M287路,粤B69791
114.023223,22.657384,2014/6/13 18:27,328250099,M211路,粤B69800
114.033966,22.626672,2014/6/13 15:21,320978906,M353路,粤B69806
114.065444,22.631595,2014/6/13 6:02,292461080,333路,粤B69819
114.029121,22.61976,2014/6/13 8:53,361223710,M353路,粤B69822
114.036003,22.642301,2014/6/13 15:18,327375369,M353路,粤B69831
114.033821,22.62684,2014/6/13 18:17,290285520,M353路,粤B69831
114.151481,22.620599,2014/6/13 13:54,660659468,M373路,粤B69848
114.150398,22.61655,2014/6/13 13:58,291963263,M373路,粤B69848
114.110984,22.536916,2014/6/13 14:50,220015345,M373路,粤B69848
114.135284,22.558816,2014/6/13 18:15,298095409,M373路,粤B69848
114.139053,22.575033,2014/6/13 18:28,293406333,M373路,粤B69848
114.126052,22.550683,2014/6/13 20:34,293784333,M373路,粤B69848
114.055175,22.722843,2014/6/13 21:44,291389113,M287路,粤B69851
114.054557,22.722261,2014/6/13 11:00,360726979,M287路,粤B69931
113.849105,22.793806,2014/6/13 17:35,291377663,M248路,粤B70305
114.116271,22.603672,2014/6/13 7:08,295195185,383路,粤B70475
114.101234,22.552267,2014/6/13 7:34,293777139,383路,粤B70475
114.133903,22.610183,2014/6/13 11:06,330367957,383路,粤B70475
114.10408,22.5543,2014/6/13 13:35,323378646,383路,粤B70475
114.118484,22.56455,2014/6/13 13:41,280350609,383路,粤B70475
113.865745,22.798868,2014/6/13 19:26,293331705,M248路,粤B70538
114.058021,22.691425,2014/6/13 7:34,281213025,M342路,粤B71871
114.056137,22.662731,2014/6/13 8:28,292585174,M342路,粤B72202
113.881309,22.602691,2014/6/13 7:31,328065201,605路,粤B72292
113.876823,22.594591,2014/6/13 18:54,294396754,605路,粤B72292
113.904296,22.557495,2014/6/13 22:16,320271792,605路,粤B72292
113.87709,22.600439,2014/6/13 7:03,325272707,605路,粤B72298
113.908638,22.565992,2014/6/13 7:31,321105639,605路,粤B72305
113.903762,22.579635,2014/6/13 19:09,326873442,605路,粤B72308
113.894744,22.583452,2014/6/13 7:54,292411952,605路,粤B72309
113.886817,22.581663,2014/6/13 8:06,320520650,M245路,粤B72367
113.905586,22.5776,2014/6/13 20:44,320486204,M245路,粤B72380
113.884567,22.581216,2014/6/13 20:53,361300067,M245路,粤B72380
113.867744,22.594446,2014/6/13 13:37,360955104,M245路,粤B72390
114.149269,22.608533,2014/6/13 7:38,290763018,383路,粤B74271
114.142814,22.609565,2014/6/13 7:40,329500783,383路,粤B74271
114.110885,22.586416,2014/6/13 7:57,329560139,383路,粤B74271
114.10411,22.554435,2014/6/13 8:18,291855420,383路,粤B74271
114.049079,22.550933,2014/6/13 10:35,30058107,383路,粤B74271
114.066085,22.551067,2014/6/13 10:42,292962334,383路,粤B74271
114.041198,22.549766,2014/6/13 14:29,20313284,383路,粤B74271
114.11087,22.58608,2014/6/13 16:20,292735416,383路,粤B74271
114.1193,22.561599,2014/6/13 19:27,296034997,383路,粤B74271
114.092285,22.551715,2014/6/13 22:55,330653564,383路,粤B74271
114.115753,22.5587,2014/6/13 23:04,322204760,383路,粤B74271
114.112213,22.598049,2014/6/13 23:14,329435882,383路,粤B74271
114.128967,22.611339,2014/6/13 23:20,291571968,383路,粤B74271
114.128967,22.611339,2014/6/13 23:20,291571968,383路,粤B74271
114.128967,22.611339,2014/6/13 23:20,291571968,383路,粤B74271
113.900016,22.571382,2014/6/13 19:02,293886679,615路,粤B74276
113.897544,22.573928,2014/6/13 19:07,320374820,615路,粤B74276
113.85469,22.586996,2014/6/13 22:22,321646355,615路,粤B74276
113.848785,22.776668,2014/6/13 19:23,324161499,高峰52线路,粤B74297
113.827117,22.700031,2014/6/13 17:14,327009021,615路,粤B74377
113.813278,22.656608,2014/6/13 17:31,327272964,615路,粤B74377
113.819808,22.674915,2014/6/13 17:45,20682357,615路,粤B74392
113.828186,22.705165,2014/6/13 18:20,328382134,615路,粤B74399
114.008163,22.675832,2014/6/13 7:26,291822524,M421路,粤B74475
114.060462,22.638782,2014/6/13 8:05,322687479,M421路,粤B74475
114.10717,22.612899,2014/6/13 16:54,296299785,M421路,粤B74475
114.105453,22.617549,2014/6/13 16:56,323555157,M421路,粤B74475
114.103813,22.6233,2014/6/13 16:59,329275755,M421路,粤B74475
114.041053,22.651367,2014/6/13 17:31,328827205,M421路,粤B74475
114.098014,22.630683,2014/6/13 21:34,326948716,M421路,粤B74475
114.031433,22.658449,2014/6/13 14:06,325953708,M421路,粤B74517
114.020469,22.660333,2014/6/13 7:46,293829286,M421路,粤B74598
114.046066,22.640644,2014/6/13 13:59,329769288,M421路,粤B74598
114.107246,22.6131,2014/6/13 17:36,151041605,M421路,粤B74598
