经度,纬度,业务时间,卡片记录编码,线路名称,车牌号
114.033073,22.727256,2014/6/11 21:20,321719408,M424路,粤B64849
114.047805,22.717155,2014/6/11 13:57,292681780,627路,粤B67266
114.02568,22.654556,2014/6/11 6:56,330339822,M211路,粤B69640
114.031669,22.616004,2014/6/11 7:13,291091974,M353路,粤B69812
114.031669,22.616004,2014/6/11 7:13,291091974,M353路,粤B69812
114.037788,22.652599,2014/6/11 8:34,294333443,M353路,粤B69822
114.03823,22.652404,2014/6/11 12:33,293012072,M353路,粤B69822
114.031684,22.615966,2014/6/11 13:06,326680047,M353路,粤B69822
114.031684,22.615966,2014/6/11 13:06,326680047,M353路,粤B69822
114.031105,22.658536,2014/6/11 14:14,326881070,M353路,粤B69822
114.032394,22.629632,2014/6/11 7:55,291161765,621路,粤B69829
114.031982,22.638919,2014/6/11 15:54,296061919,621路,粤B69829
114.044288,22.702026,2014/6/11 7:46,251380303,M287路,粤B69843
114.110534,22.540283,2014/6/11 9:51,20472936,M373路,粤B69848
114.110534,22.540283,2014/6/11 9:51,20472936,M373路,粤B69848
114.145347,22.613533,2014/6/11 11:40,322393619,M373路,粤B69848
114.137084,22.561483,2014/6/11 18:39,21035825,M373路,粤B69848
114.111007,22.536863,2014/6/11 20:44,330287471,M373路,粤B69848
114.110565,22.540132,2014/6/11 8:49,296422342,M373路,粤B69849
114.033271,22.624799,2014/6/11 6:57,322560123,M353路,粤B69852
114.018501,22.663091,2014/6/11 6:42,323290910,M424路,粤B69853
114.033493,22.627435,2014/6/11 7:54,293938887,M353路,粤B69930
114.05149,22.749172,2014/6/11 13:00,329657128,M287路,粤B69931
114.018585,22.749206,2014/6/11 9:43,660478047,M287路,粤B69933
114.110916,22.586416,2014/6/11 7:16,329861910,383路,粤B70475
114.10128,22.552249,2014/6/11 7:38,23114850,383路,粤B70475
113.965087,22.541135,2014/6/11 8:55,23264663,383路,粤B70475
114.14373,22.609683,2014/6/11 14:50,324552576,383路,粤B70475
114.049003,22.551149,2014/6/11 15:47,294505959,383路,粤B70475
114.088935,22.551666,2014/6/11 17:53,296379678,383路,粤B70475
114.088935,22.551666,2014/6/11 17:53,296379678,383路,粤B70475
114.087387,22.551649,2014/6/11 21:57,361193344,383路,粤B70475
114.094001,22.551767,2014/6/11 21:58,23130876,383路,粤B70475
114.103736,22.552583,2014/6/11 22:06,328338773,383路,粤B70475
114.103736,22.552583,2014/6/11 22:06,328338773,383路,粤B70475
114.115364,22.558633,2014/6/11 22:10,330364142,383路,粤B70475
114.115364,22.558633,2014/6/11 22:10,330364142,383路,粤B70475
114.11483,22.581083,2014/6/11 22:16,326724474,383路,粤B70475
113.849197,22.794496,2014/6/11 20:16,293953985,高峰52线路,粤B70505
113.881416,22.602722,2014/6/11 15:34,291095592,605路,粤B72170
113.900238,22.5832,2014/6/11 20:24,296292447,605路,粤B72170
113.903602,22.579727,2014/6/11 8:03,327053505,605路,粤B72269
113.906478,22.576971,2014/6/11 12:31,360810948,605路,粤B72299
113.877067,22.600299,2014/6/11 8:12,287034703,605路,粤B72305
113.887039,22.590932,2014/6/11 9:41,294412294,605路,粤B72305
113.904624,22.562536,2014/6/11 7:49,251130471,605路,粤B72309
113.904289,22.557552,2014/6/11 13:13,23029493,605路,粤B72309
113.877548,22.600767,2014/6/11 8:55,290723456,605路,粤B72362
113.883689,22.611383,2014/6/11 16:01,361359019,605路,粤B72362
114.142799,22.609483,2014/6/11 7:46,322212832,383路,粤B74271
114.132133,22.610599,2014/6/11 7:52,321575436,383路,粤B74271
114.116233,22.603733,2014/6/11 7:57,361005212,383路,粤B74271
114.11763,22.570667,2014/6/11 8:10,322275321,383路,粤B74271
114.138885,22.609249,2014/6/11 12:14,294292518,383路,粤B74271
114.138885,22.609249,2014/6/11 12:14,294292518,383路,粤B74271
114.114715,22.558916,2014/6/11 12:36,180074758,383路,粤B74271
114.085083,22.551649,2014/6/11 14:36,323740889,383路,粤B74271
113.82505,22.637466,2014/6/11 11:44,280083416,615路,粤B74377
113.86238,22.582168,2014/6/11 19:12,325477951,615路,粤B74377
113.908828,22.572891,2014/6/11 17:34,296369927,615路,粤B74387
113.844261,22.599763,2014/6/11 6:25,323113195,615路,粤B74390
113.793266,22.721179,2014/6/11 21:16,293194084,615路,粤B74391
113.866325,22.57784,2014/6/11 8:24,20246067,615路,粤B74392
114.007949,22.6762,2014/6/11 7:25,293769238,M421路,粤B74475
114.095932,22.634067,2014/6/11 18:28,360962408,M421路,粤B74475
114.019332,22.662015,2014/6/11 19:20,328729459,M421路,粤B74475
114.02613,22.660583,2014/6/11 12:18,50579720,M421路,粤B74598
114.02613,22.660583,2014/6/11 12:18,50579720,M421路,粤B74598
114.018249,22.663467,2014/6/11 15:56,327230631,M421路,粤B74598
114.03952,22.651716,2014/6/11 16:09,292003104,M421路,粤B74598
114.022346,22.658382,2014/6/11 7:33,292206801,M264路,粤B74615
114.023284,22.657049,2014/6/11 7:33,290762321,M264路,粤B74615
114.032752,22.657167,2014/6/11 8:23,323941021,M264路,粤B74615
114.02465,22.6557,2014/6/11 8:29,290929183,M264路,粤B74615
114.023384,22.657115,2014/6/11 8:30,660076767,M264路,粤B74615
114.045646,22.692934,2014/6/11 8:49,291662282,M264路,粤B74615
114.048965,22.69255,2014/6/11 17:11,320215212,M264路,粤B74615
114.048965,22.69255,2014/6/11 17:11,320215212,M264路,粤B74615
114.035316,22.690666,2014/6/11 19:30,325065830,M264路,粤B74615
114.035316,22.690666,2014/6/11 19:30,325065830,M264路,粤B74615
114.030448,22.664484,2014/6/11 20:39,322069223,M264路,粤B74615
114.035964,22.694383,2014/6/11 20:51,360838105,M264路,粤B74615
114.072067,22.693317,2014/6/11 21:02,329683134,M264路,粤B74615
114.063346,22.691699,2014/6/11 17:29,660219648,M264路,粤B74671
114.051216,22.692066,2014/6/11 21:07,326722298,M264路,粤B74671
114.067817,22.692882,2014/6/11 7:33,361410198,M264路,粤B74752
114.031181,22.665884,2014/6/11 17:22,296189372,M264路,粤B74752
114.031181,22.665884,2014/6/11 17:22,296189372,M264路,粤B74752
114.049232,22.692432,2014/6/11 17:42,293895214,M264路,粤B74752
114.049232,22.692432,2014/6/11 17:42,293895214,M264路,粤B74752
114.058982,22.6912,2014/6/11 20:23,293983313,M264路,粤B74777
114.110618,22.69745,2014/6/11 8:29,441014547,M264路,粤B74779
114.068031,22.692649,2014/6/11 8:41,329267413,M264路,粤B74779
114.02462,22.659383,2014/6/11 10:02,325790486,M264路,粤B74779
114.02462,22.659383,2014/6/11 10:02,325790486,M264路,粤B74779
114.107902,22.698099,2014/6/11 12:46,291087609,M264路,粤B74779
114.107902,22.698099,2014/6/11 12:46,291087609,M264路,粤B74779
