经度,纬度,业务时间,卡片记录编码,线路名称,车牌号
113.893493,22.585191,2014/6/9 14:36,292454743,605路,粤B72268
113.892791,22.585012,2014/6/9 8:04,281106596,605路,粤B72299
113.892791,22.585012,2014/6/9 8:04,296203675,605路,粤B72299
113.892791,22.585012,2014/6/9 8:04,281106596,605路,粤B72299
113.892791,22.585012,2014/6/9 8:04,296203675,605路,粤B72299
113.88626,22.606212,2014/6/9 10:03,323965411,605路,粤B72305
113.88626,22.606212,2014/6/9 10:03,323965411,605路,粤B72305
113.896179,22.582416,2014/6/9 11:24,20628207,605路,粤B72305
113.896179,22.582416,2014/6/9 11:24,20628207,605路,粤B72305
113.891952,22.584907,2014/6/9 11:26,280819875,605路,粤B72305
113.891952,22.584907,2014/6/9 11:26,280819875,605路,粤B72305
113.886405,22.605762,2014/6/9 11:57,296231519,605路,粤B72305
113.886405,22.605762,2014/6/9 11:57,296231519,605路,粤B72305
113.875518,22.598955,2014/6/9 12:02,330056126,605路,粤B72305
113.875518,22.598955,2014/6/9 12:02,294534256,605路,粤B72305
113.875518,22.598955,2014/6/9 12:02,330056126,605路,粤B72305
113.875518,22.598955,2014/6/9 12:02,294534256,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,328030095,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131962,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131963,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251380999,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,328030095,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131962,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131963,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251380999,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,328030095,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131962,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131963,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251380999,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,328030095,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131962,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251131963,605路,粤B72305
113.893539,22.585056,2014/6/9 12:17,251380999,605路,粤B72305
113.907386,22.558723,2014/6/9 13:00,23508729,605路,粤B72305
113.907386,22.558723,2014/6/9 13:00,23508729,605路,粤B72305
113.875343,22.598876,2014/6/9 14:00,293137229,605路,粤B72305
113.875343,22.598876,2014/6/9 14:00,293137229,605路,粤B72305
113.886993,22.590908,2014/6/9 14:06,294251205,605路,粤B72305
113.886993,22.590908,2014/6/9 14:06,297547973,605路,粤B72305
113.886993,22.590908,2014/6/9 14:06,294251205,605路,粤B72305
113.886993,22.590908,2014/6/9 14:06,297547973,605路,粤B72305
113.893829,22.585123,2014/6/9 14:11,296168407,605路,粤B72305
113.893829,22.585123,2014/6/9 14:11,296168407,605路,粤B72305
113.907028,22.558975,2014/6/9 16:48,20984428,605路,粤B72305
113.907028,22.558975,2014/6/9 16:48,20984428,605路,粤B72305
113.886665,22.591783,2014/6/9 17:13,285078509,605路,粤B72305
113.886665,22.591783,2014/6/9 17:13,285078509,605路,粤B72305
113.877006,22.600322,2014/6/9 17:41,295239747,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,291096604,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,330667027,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,329795730,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,291096604,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,330667027,605路,粤B72305
113.878089,22.601106,2014/6/9 21:07,329795730,605路,粤B72305
113.915283,22.585903,2014/6/9 18:39,290638557,613路,粤B77495
113.915283,22.585903,2014/6/9 18:39,323442628,613路,粤B77495
113.915283,22.585903,2014/6/9 18:39,327129506,613路,粤B77495
113.915283,22.585903,2014/6/9 18:39,328302958,613路,粤B77495
113.911033,22.578851,2014/6/9 18:43,293918925,613路,粤B77495
113.911033,22.578851,2014/6/9 18:43,325957616,613路,粤B77495
113.892463,22.578861,2014/6/9 10:19,324207895,M349路,粤B77507
113.892463,22.578861,2014/6/9 10:19,324207895,M349路,粤B77507
113.866882,22.604141,2014/6/9 11:29,321644053,M349路,粤B77507
113.866882,22.604141,2014/6/9 11:29,321644053,M349路,粤B77507
113.890594,22.550352,2014/6/9 7:59,360879531,M349路,粤B81072
113.890594,22.550352,2014/6/9 7:59,360879531,M349路,粤B81072
113.893142,22.552555,2014/6/9 8:00,291179095,M349路,粤B81072
113.893142,22.552555,2014/6/9 8:00,291179095,M349路,粤B81072
113.876335,22.595024,2014/6/9 10:53,292845327,M349路,粤B81072
113.876335,22.595024,2014/6/9 10:53,320715345,M349路,粤B81072
113.876335,22.595024,2014/6/9 10:53,292845327,M349路,粤B81072
113.876335,22.595024,2014/6/9 10:53,320715345,M349路,粤B81072
113.871841,22.599176,2014/6/9 11:51,296110867,M349路,粤B81072
113.871841,22.599176,2014/6/9 11:51,296110867,M349路,粤B81072
113.905708,22.565404,2014/6/9 12:11,281024864,M349路,粤B81072
113.855789,22.618001,2014/6/9 14:09,327106592,M349路,粤B81072
113.855789,22.618001,2014/6/9 14:09,327106592,M349路,粤B81072
113.904388,22.56228,2014/6/9 15:16,361339128,M349路,粤B81072
113.904388,22.56228,2014/6/9 15:16,361339128,M349路,粤B81072
113.906852,22.564512,2014/6/9 15:17,20791498,M349路,粤B81072
113.906852,22.564512,2014/6/9 15:17,322717028,M349路,粤B81072
113.906852,22.564512,2014/6/9 15:17,20791498,M349路,粤B81072
113.906852,22.564512,2014/6/9 15:17,322717028,M349路,粤B81072
113.872215,22.599142,2014/6/9 18:07,322954084,M349路,粤B81072
113.872215,22.599142,2014/6/9 18:07,292219828,M349路,粤B81072
113.872215,22.599142,2014/6/9 18:07,322954084,M349路,粤B81072
113.872215,22.599142,2014/6/9 18:07,292219828,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,364001067,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,361137506,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,322689932,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,322138994,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,293018708,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,364001067,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,361137506,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,322689932,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,322138994,M349路,粤B81072
113.85662,22.616388,2014/6/9 18:13,293018708,M349路,粤B81072
113.906578,22.564281,2014/6/9 22:07,325277409,M349路,粤B81088
113.906578,22.564281,2014/6/9 22:07,325277409,M349路,粤B81088
113.894493,22.559476,2014/6/9 12:36,292911095,631路,粤B81115
113.894493,22.559476,2014/6/9 12:36,151061497,631路,粤B81115
113.86547,22.571935,2014/6/9 17:05,321193393,631路,粤B81115
113.86547,22.571935,2014/6/9 17:05,321193393,631路,粤B81115
113.882865,22.588531,2014/6/9 20:01,324566658,631路,粤B81192
113.882865,22.588531,2014/6/9 20:01,324566658,631路,粤B81192
113.897354,22.583532,2014/6/9 8:35,251045498,631路,粤B83379
113.897354,22.583532,2014/6/9 8:35,251045498,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,292443850,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,294430210,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,296170586,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,320329906,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,326500418,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,323739455,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,700011210,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,292443850,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,294430210,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,296170586,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,320329906,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,326500418,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,323739455,631路,粤B83379
113.880615,22.590631,2014/6/9 8:45,700011210,631路,粤B83379
