经度,纬度,业务时间,卡片记录编码,线路名称,车牌号
114.020469,22.734626,2014/6/10 9:41,330357953,M285路,粤B63317
114.020469,22.734626,2014/6/10 9:41,330357953,M285路,粤B63317
114.020469,22.734626,2014/6/10 9:41,330357953,M285路,粤B63317
114.014877,22.744831,2014/6/10 14:12,326064411,M285路,粤B63567
114.05043,22.718372,2014/6/10 8:10,323169447,M285路,粤B64759
114.05043,22.718372,2014/6/10 8:10,323169447,M285路,粤B64759
114.0149,22.744705,2014/6/10 10:07,281036907,M285路,粤B64759
114.0149,22.744705,2014/6/10 10:07,281036907,M285路,粤B64759
114.04943,22.71788,2014/6/10 14:22,291080364,M285路,粤B64759
114.04943,22.71788,2014/6/10 14:22,291080364,M285路,粤B64759
114.019584,22.667499,2014/6/10 7:30,323973256,M424路,粤B64849
114.019584,22.667499,2014/6/10 7:30,323973256,M424路,粤B64849
114.018623,22.663227,2014/6/10 7:10,293918874,M424路,粤B64860
114.018623,22.663227,2014/6/10 7:10,293918874,M424路,粤B64860
114.021049,22.659919,2014/6/10 7:13,325748940,M424路,粤B64860
114.021049,22.659919,2014/6/10 7:13,325748940,M424路,粤B64860
114.020095,22.661119,2014/6/10 7:49,330389552,M424路,粤B64860
114.020095,22.661119,2014/6/10 7:49,330389552,M424路,粤B64860
114.02909,22.650896,2014/6/10 10:37,329808096,M424路,粤B64860
114.02909,22.650896,2014/6/10 10:37,329808096,M424路,粤B64860
114.008026,22.735336,2014/6/10 12:25,290036451,M424路,粤B64860
114.008026,22.735336,2014/6/10 12:25,290036451,M424路,粤B64860
114.03366,22.648096,2014/6/10 7:20,329255014,M211路,粤B64943
114.03366,22.648096,2014/6/10 7:20,329255014,M211路,粤B64943
114.025993,22.65422,2014/6/10 7:26,323813539,M211路,粤B64943
114.041534,22.651144,2014/6/10 9:16,321226611,M211路,粤B64943
114.041534,22.651144,2014/6/10 9:16,321226611,M211路,粤B64943
114.03968,22.646028,2014/6/10 12:15,325798305,M211路,粤B64943
114.03968,22.646028,2014/6/10 12:15,325798305,M211路,粤B64943
113.978401,22.683216,2014/6/10 13:58,328021374,M211路,粤B64943
114.049644,22.717987,2014/6/10 7:04,700027676,M287路,粤B67195
114.049644,22.717987,2014/6/10 7:04,700027676,M287路,粤B67195
114.041404,22.749519,2014/6/10 11:40,292251427,M287路,粤B67195
114.041404,22.749519,2014/6/10 11:40,292251427,M287路,粤B67195
114.048805,22.717439,2014/6/10 7:56,326311750,627路,粤B67266
114.048805,22.717439,2014/6/10 7:56,326311750,627路,粤B67266
114.056167,22.723432,2014/6/10 7:59,326738704,627路,粤B67266
114.056167,22.723432,2014/6/10 7:59,326738704,627路,粤B67266
114.030944,22.702564,2014/6/10 9:49,293763673,627路,粤B67266
114.030944,22.702564,2014/6/10 9:49,293763673,627路,粤B67266
114.029701,22.701362,2014/6/10 6:46,292043259,627路,粤B67270
114.029701,22.701362,2014/6/10 6:46,292043259,627路,粤B67270
114.03057,22.702171,2014/6/10 6:46,251159956,627路,粤B67270
114.03057,22.702171,2014/6/10 6:46,251159956,627路,粤B67270
114.060905,22.722812,2014/6/10 6:59,660530589,627路,粤B67270
114.032608,22.758901,2014/6/10 7:43,293173853,627路,粤B67270
