经度,纬度,业务时间,卡片记录编码,线路名称,经纬度,上车站点,实际站点
114.06641299999998,22.659549,2014-06-09 06:02,360972027,68路,"114.066413,22.659549",1,37
114.034553,22.624416,2014-06-09 06:22,323654111,68路,"114.034553,22.624416",10,30
114.06188200000001,22.638866,2014-06-09 06:37,293966254,68路,"114.061882,22.638866",11,34
114.047119,22.518867,2014-06-09 06:54,322931121,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,326548574,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,327235486,68路,"114.047119,22.518867",8,12
114.047119,22.518867,2014-06-09 06:54,330038615,68路,"114.047119,22.518867",8,12
114.03958100000001,22.612716,2014-06-09 06:57,251037944,68路,"114.039581,22.612716",14,29
114.03958100000001,22.612716,2014-06-09 06:57,251298990,68路,"114.039581,22.612716",14,29
114.03958100000001,22.612716,2014-06-09 06:57,292478388,68路,"114.039581,22.612716",14,29
114.07166200000002,22.550975,2014-06-09 07:10,150061723,68路,"114.071662,22.550975",15,18
113.999649,22.53005,2014-06-09 07:11,298846312,68路,"113.999649,22.53005",0,37
113.999649,22.53005,2014-06-09 07:11,322508195,68路,"113.999649,22.53005",0,37
114.043548,22.520270999999997,2014-06-09 07:27,20943021,68路,"114.043548,22.520271",8,12
114.043548,22.520270999999997,2014-06-09 07:27,80146492,68路,"114.043548,22.520271",8,12
114.043548,22.520270999999997,2014-06-09 07:27,293499521,68路,"114.043548,22.520271",8,12
114.061668,22.652555,2014-06-09 07:29,180026538,68路,"114.061668,22.652555",13,36
113.940399,22.54915,2014-06-09 07:29,285082248,68路,"113.940399,22.54915",6,3
113.940399,22.54915,2014-06-09 07:29,296173669,68路,"113.940399,22.54915",6,3
114.02100300000001,22.531967,2014-06-09 07:34,297671449,68路,"114.021003,22.531967",16,8
114.02100300000001,22.531967,2014-06-09 07:34,320830455,68路,"114.021003,22.531967",16,8
114.02100300000001,22.531967,2014-06-09 07:34,329849352,68路,"114.021003,22.531967",16,8
114.041473,22.640039,2014-06-09 07:46,290632122,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,292887064,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,293038807,68路,"114.041473,22.640039",2,31
114.041473,22.640039,2014-06-09 07:46,294138687,68路,"114.041473,22.640039",2,31
114.03910800000001,22.641319,2014-06-09 07:47,291394401,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,291685116,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,292894768,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,294527275,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,321154064,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,324723295,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,325691138,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,325878773,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,326392621,68路,"114.039108,22.641319",2,31
114.03910800000001,22.641319,2014-06-09 07:47,329658150,68路,"114.039108,22.641319",2,31
114.034912,22.642595,2014-06-09 07:49,23151422,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,293914607,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,321959183,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,323248397,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,324351254,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,325745030,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,327536226,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,328779232,68路,"114.034912,22.642595",2,31
114.034912,22.642595,2014-06-09 07:49,364056969,68路,"114.034912,22.642595",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,20592495,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,21025506,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,23581251,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,280372336,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,292543135,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,325768598,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,326959928,68路,"114.031684,22.637451",2,31
114.03168400000001,22.637451000000002,2014-06-09 07:51,328164759,68路,"114.031684,22.637451",2,31
